epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4315,2.25419,2.53505,0.00396,0.53629,0.52756,0.51781,0.2257,1.88713,2.06907,0.00351,0.000661616,0.000661616,0.000661616
2,26.7149,2.13992,1.80776,0.00363,0.58535,0.61614,0.61682,0.28398,1.81911,1.70767,0.0034,0.00130198,0.00130198,0.00130198
3,37.9758,2.1821,1.666,0.0036,0.69943,0.55118,0.6659,0.31753,1.81206,1.41225,0.00354,0.00191595,0.00191595,0.00191595
4,49.2802,2.17348,1.56122,0.0035,0.69485,0.63583,0.70643,0.34023,1.77843,1.30116,0.00356,0.0018812,0.0018812,0.0018812
5,60.358,2.08044,1.48967,0.00351,0.65528,0.65157,0.69503,0.33381,1.85464,1.26473,0.00364,0.0018416,0.0018416,0.0018416
6,71.4268,2.09335,1.42778,0.00352,0.75244,0.6437,0.73734,0.37373,1.73335,1.23231,0.00339,0.001802,0.001802,0.001802
7,82.3824,2.06943,1.40416,0.00341,0.72366,0.65945,0.74955,0.36551,1.75663,1.27181,0.00344,0.0017624,0.0017624,0.0017624
8,93.3422,2.03595,1.33838,0.00337,0.73186,0.69309,0.76256,0.36931,1.68293,1.2809,0.00322,0.0017228,0.0017228,0.0017228
9,104.331,2.03551,1.31926,0.00328,0.65896,0.70746,0.74076,0.36833,1.74058,1.20648,0.00351,0.0016832,0.0016832,0.0016832
10,115.397,2.04541,1.35219,0.00334,0.70686,0.7185,0.75433,0.3784,1.8034,1.17095,0.0038,0.0016436,0.0016436,0.0016436
11,126.386,2.01119,1.29243,0.00321,0.76925,0.65625,0.75489,0.38331,1.74751,1.10512,0.00346,0.001604,0.001604,0.001604
12,137.391,1.99789,1.29611,0.00318,0.74557,0.72104,0.78966,0.41544,1.69215,1.07213,0.00337,0.0015644,0.0015644,0.0015644
13,148.366,1.992,1.27252,0.00317,0.74513,0.74409,0.7956,0.41361,1.65124,1.11959,0.0034,0.0015248,0.0015248,0.0015248
14,159.428,1.97601,1.24468,0.0032,0.75161,0.73031,0.79512,0.42154,1.62994,1.02911,0.00315,0.0014852,0.0014852,0.0014852
15,170.429,1.96789,1.26038,0.00308,0.80651,0.70079,0.8102,0.42881,1.69739,0.98025,0.00324,0.0014456,0.0014456,0.0014456
16,181.381,1.95578,1.24469,0.0031,0.75753,0.69488,0.80305,0.43506,1.63967,1.03292,0.00324,0.001406,0.001406,0.001406
17,192.467,1.96067,1.22302,0.00309,0.73154,0.73228,0.8015,0.43289,1.63695,1.0563,0.00331,0.0013664,0.0013664,0.0013664
18,203.439,1.93996,1.23244,0.00308,0.75941,0.75805,0.81844,0.43784,1.64335,0.99921,0.00302,0.0013268,0.0013268,0.0013268
19,214.515,1.92178,1.17381,0.00298,0.73785,0.71654,0.80203,0.42368,1.67931,0.95595,0.00328,0.0012872,0.0012872,0.0012872
20,225.623,1.91094,1.19087,0.00302,0.74613,0.71654,0.78089,0.42419,1.62065,1.05974,0.00304,0.0012476,0.0012476,0.0012476
21,236.812,1.90393,1.16048,0.00293,0.8179,0.72835,0.82773,0.44435,1.64046,0.99907,0.00314,0.001208,0.001208,0.001208
22,247.924,1.90926,1.19012,0.00294,0.81514,0.73622,0.83757,0.4563,1.61108,0.93319,0.00306,0.0011684,0.0011684,0.0011684
23,259.104,1.89271,1.15327,0.003,0.78955,0.73031,0.82961,0.44603,1.62687,1.00108,0.00304,0.0011288,0.0011288,0.0011288
