epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4302,2.23543,2.50491,0.00383,0.55768,0.52369,0.50825,0.22108,1.84793,2.10348,0.0033,0.000661616,0.000661616,0.000661616
2,26.3868,2.0841,1.75779,0.00339,0.60483,0.5374,0.57572,0.25982,1.87935,1.90859,0.00378,0.00130198,0.00130198,0.00130198
3,38.7345,2.12965,1.57672,0.00338,0.69628,0.58661,0.68315,0.31489,1.84945,1.50359,0.00364,0.00191595,0.00191595,0.00191595
4,50.8586,2.10944,1.47918,0.00329,0.63829,0.61811,0.62259,0.2945,1.80144,1.40532,0.00353,0.0018812,0.0018812,0.0018812
5,62.9376,2.03233,1.38325,0.00329,0.72348,0.62008,0.72007,0.34243,1.80048,1.39397,0.00356,0.0018416,0.0018416,0.0018416
6,75.2964,2.03142,1.33502,0.00327,0.71648,0.64567,0.73002,0.35052,1.80769,1.26854,0.00354,0.001802,0.001802,0.001802
7,87.7884,1.99185,1.31846,0.0031,0.65206,0.65665,0.71081,0.34645,1.76858,1.28801,0.00338,0.0017624,0.0017624,0.0017624
8,100.367,1.9765,1.27881,0.00312,0.71049,0.6425,0.71463,0.33787,1.85666,1.26062,0.00365,0.0017228,0.0017228,0.0017228
9,112.466,1.99013,1.23717,0.00308,0.64644,0.66339,0.70222,0.3447,1.75721,1.26585,0.00341,0.0016832,0.0016832,0.0016832
10,124.95,1.97718,1.26385,0.00309,0.68567,0.68704,0.72741,0.34935,1.78732,1.29474,0.00346,0.0016436,0.0016436,0.0016436
11,137.22,1.96567,1.20428,0.00301,0.7317,0.62992,0.72354,0.35914,1.77352,1.22086,0.00346,0.001604,0.001604,0.001604
12,149.104,1.95928,1.20992,0.00297,0.705,0.68684,0.73939,0.37658,1.76552,1.15378,0.00358,0.0015644,0.0015644,0.0015644
13,160.427,1.91416,1.17662,0.00293,0.7295,0.69546,0.74911,0.37987,1.68571,1.17836,0.0032,0.0015248,0.0015248,0.0015248
14,171.334,1.9116,1.17576,0.00303,0.71299,0.68701,0.74704,0.37265,1.7351,1.13471,0.00344,0.0014852,0.0014852,0.0014852
15,182.257,1.91849,1.16537,0.00292,0.81272,0.66535,0.788,0.39882,1.77479,1.04098,0.00352,0.0014456,0.0014456,0.0014456
16,193.177,1.913,1.15649,0.00291,0.73689,0.70016,0.77567,0.3931,1.72953,1.14832,0.00339,0.001406,0.001406,0.001406
17,204.094,1.89036,1.13103,0.00285,0.81166,0.70866,0.80543,0.4297,1.70137,0.96934,0.00316,0.0013664,0.0013664,0.0013664
18,215.017,1.87499,1.1238,0.00285,0.77011,0.73228,0.80032,0.40853,1.70789,1.03045,0.00325,0.0013268,0.0013268,0.0013268
19,226.009,1.87219,1.10095,0.0028,0.79863,0.71045,0.80131,0.41623,1.70037,1.03674,0.00336,0.0012872,0.0012872,0.0012872
20,236.942,1.86415,1.09053,0.00285,0.782,0.66376,0.774,0.40905,1.69007,1.10718,0.00326,0.0012476,0.0012476,0.0012476
21,247.865,1.86268,1.08457,0.00278,0.78631,0.72638,0.80385,0.40617,1.73292,1.00614,0.00324,0.001208,0.001208,0.001208
22,258.768,1.85578,1.09015,0.00278,0.79014,0.68929,0.79756,0.4178,1.70558,1.03366,0.00319,0.0011684,0.0011684,0.0011684
23,269.67,1.83881,1.0641,0.00279,0.75712,0.70866,0.78759,0.41245,1.73031,1.03738,0.00327,0.0011288,0.0011288,0.0011288
24,280.586,1.85247,1.0739,0.00272,0.80096,0.74606,0.81851,0.42678,1.69378,1.01079,0.00311,0.0010892,0.0010892,0.0010892
25,291.493,1.83563,1.06177,0.00272,0.7985,0.72548,0.80866,0.42167,1.71548,0.98202,0.00324,0.0010496,0.0010496,0.0010496
26,302.387,1.81705,1.04183,0.00266,0.77484,0.73837,0.81476,0.44082,1.66235,0.96639,0.00307,0.00101,0.00101,0.00101
27,313.313,1.79746,1.03523,0.00261,0.74763,0.75591,0.81439,0.43479,1.65081,1.02057,0.00314,0.0009704,0.0009704,0.0009704
