epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7202,2.22976,2.47153,0.00378,0.51745,0.5315,0.51055,0.21128,1.85656,1.96694,0.00363,0.000661616,0.000661616,0.000661616
2,22.9614,2.10136,1.74443,0.00341,0.52961,0.59646,0.52112,0.23193,1.83528,1.83652,0.00341,0.00130198,0.00130198,0.00130198
3,33.9953,2.12205,1.60676,0.00337,0.61174,0.6048,0.63559,0.31164,1.78173,1.46408,0.00347,0.00191595,0.00191595,0.00191595
4,44.9861,2.11369,1.4623,0.00332,0.65403,0.62402,0.68291,0.327,1.74971,1.48139,0.00338,0.0018812,0.0018812,0.0018812
5,55.9599,2.05987,1.40746,0.0034,0.71108,0.69094,0.74479,0.35334,1.8065,1.21877,0.00346,0.0018416,0.0018416,0.0018416
6,66.9481,2.04277,1.34367,0.00329,0.67675,0.69488,0.72505,0.34868,1.81291,1.24532,0.00361,0.001802,0.001802,0.001802
7,78.4579,2.0103,1.31121,0.00316,0.69889,0.69488,0.74164,0.37794,1.76424,1.17767,0.00346,0.0017624,0.0017624,0.0017624
8,90.0036,1.99151,1.29927,0.00318,0.717,0.68701,0.75793,0.37111,1.71245,1.23385,0.00329,0.0017228,0.0017228,0.0017228
9,101.106,1.97272,1.2379,0.00303,0.70245,0.68307,0.74008,0.36535,1.77453,1.29602,0.0036,0.0016832,0.0016832,0.0016832
10,112.902,1.98272,1.2713,0.0031,0.77492,0.69685,0.79162,0.40419,1.74779,1.1301,0.00353,0.0016436,0.0016436,0.0016436
11,124.968,1.9574,1.19695,0.00299,0.73791,0.73711,0.78985,0.42094,1.64801,1.04855,0.00316,0.001604,0.001604,0.001604
12,136.506,1.947,1.20252,0.00297,0.78254,0.72252,0.79954,0.42463,1.67708,1.01072,0.00324,0.0015644,0.0015644,0.0015644
13,147.601,1.93152,1.17869,0.00294,0.75768,0.73031,0.79083,0.40406,1.74341,1.1318,0.0033,0.0015248,0.0015248,0.0015248
14,159.022,1.90672,1.17446,0.00302,0.77141,0.71079,0.80163,0.40718,1.70095,1.07541,0.0033,0.0014852,0.0014852,0.0014852
15,171.573,1.93417,1.1656,0.00292,0.73369,0.77552,0.81862,0.42693,1.69398,1.00441,0.00318,0.0014456,0.0014456,0.0014456
16,184.027,1.90759,1.15096,0.00293,0.7355,0.7335,0.79684,0.41488,1.69058,0.98673,0.00331,0.001406,0.001406,0.001406
17,196.267,1.90364,1.13723,0.00291,0.78937,0.73031,0.80018,0.41814,1.71389,1.02543,0.00339,0.0013664,0.0013664,0.0013664
18,208.509,1.88697,1.1239,0.00286,0.83435,0.71389,0.81243,0.42748,1.71353,0.94066,0.00321,0.0013268,0.0013268,0.0013268
19,220.948,1.8714,1.09788,0.0028,0.81509,0.70284,0.81599,0.4316,1.6948,0.98445,0.00351,0.0012872,0.0012872,0.0012872
20,233.481,1.86761,1.09832,0.00285,0.78526,0.74146,0.8129,0.43754,1.66486,0.96492,0.00304,0.0012476,0.0012476,0.0012476
