epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1858,2.08122,1.49075,0.00352,0.71028,0.66535,0.71992,0.32953,1.90252,1.4771,0.00392,0.000661616,0.000661616,0.000661616
2,66.784,2.12998,1.39649,0.00378,0.71524,0.67913,0.74189,0.34247,1.89062,1.3731,0.00403,0.00130198,0.00130198,0.00130198
3,98.0087,2.16314,1.39033,0.00371,0.54528,0.32874,0.32262,0.15832,1.97103,3.05325,0.0041,0.00191595,0.00191595,0.00191595
4,129.02,2.14466,1.31918,0.00357,0.77865,0.6994,0.77053,0.38798,1.94238,1.14557,0.00395,0.0018812,0.0018812,0.0018812
5,160.111,2.08941,1.30616,0.00367,0.81003,0.69882,0.79508,0.40501,1.84105,1.09792,0.00377,0.0018416,0.0018416,0.0018416
6,191.232,2.04625,1.25843,0.00353,0.78503,0.71063,0.80957,0.42444,1.71505,1.04262,0.00345,0.001802,0.001802,0.001802
7,222.348,2.03766,1.25441,0.00347,0.77466,0.71654,0.79935,0.40239,1.84202,1.07586,0.00386,0.0017624,0.0017624,0.0017624
8,253.47,1.99906,1.18746,0.00342,0.71464,0.57679,0.64841,0.33441,1.72088,1.6397,0.00356,0.0017228,0.0017228,0.0017228
9,284.543,1.9631,1.19645,0.00327,0.80837,0.74213,0.83315,0.45799,1.65011,0.95692,0.00342,0.0016832,0.0016832,0.0016832
10,315.794,1.99255,1.18127,0.00329,0.73767,0.68084,0.75704,0.38039,1.84892,1.37745,0.0037,0.0016436,0.0016436,0.0016436
11,346.943,1.94745,1.16029,0.00319,0.81225,0.74943,0.83799,0.45743,1.66411,0.98083,0.00337,0.001604,0.001604,0.001604
12,377.964,1.95616,1.17089,0.00315,0.79447,0.76575,0.82664,0.43688,1.74678,0.99835,0.00361,0.0015644,0.0015644,0.0015644
13,408.988,1.89867,1.12685,0.00308,0.75932,0.72441,0.80556,0.44059,1.75243,0.96137,0.00359,0.0015248,0.0015248,0.0015248
14,439.999,1.88092,1.10637,0.0031,0.80308,0.76181,0.84721,0.45746,1.70017,0.95668,0.00342,0.0014852,0.0014852,0.0014852
15,471.023,1.88857,1.11938,0.00299,0.79533,0.78346,0.86581,0.47033,1.59896,0.87863,0.00308,0.0014456,0.0014456,0.0014456
16,502.141,1.85693,1.08565,0.00295,0.80946,0.76939,0.84513,0.4562,1.65306,0.84982,0.00335,0.001406,0.001406,0.001406
17,533.179,1.86683,1.07723,0.00298,0.81685,0.75,0.84202,0.46624,1.65615,0.85993,0.0032,0.0013664,0.0013664,0.0013664
18,564.204,1.8585,1.09135,0.00298,0.84134,0.76199,0.8646,0.50047,1.61699,0.87009,0.00327,0.0013268,0.0013268,0.0013268
19,595.295,1.82252,1.03748,0.00286,0.849,0.73048,0.8373,0.47409,1.64191,1.03953,0.00333,0.0012872,0.0012872,0.0012872
20,626.391,1.81052,1.06731,0.00288,0.84668,0.80906,0.88776,0.51124,1.49345,0.80792,0.00296,0.0012476,0.0012476,0.0012476
21,657.483,1.79491,1.01894,0.00279,0.8267,0.77559,0.86712,0.49948,1.52652,0.78644,0.00288,0.001208,0.001208,0.001208
